sample_id	ADORA2A	BTLA	CD160	CD244	CD274	CD96	CSF1R	CTLA4	HAVCR2	IDO1	IL10	IL10RB	KDR	KIR2DL1	KIR2DL3	LAG3	LGALS9	PDCD1	PDCD1LG2	TGFB1	TGFBR1	TIGIT	VTCN1
pts378	2.46492960112985	0.896078055397064	-0.886299500835272	0.774839759827326	4.0618625839249	2.32509853776749	4.99598191417321	1.88791513563813	4.43569526048961	6.3181541221919	0.642470537315822	5.01439993012814	2.8916136070392	-9.96578428466209	-9.96578428466209	2.87006875178241	6.28338473504235	1.202260983562	2.08780225897709	4.23962716807238	3.69832962148096	2.46492960112985	-2.11403524324603
pts1104	-0.302226180444814	-2.2446850959549	-9.96578428466209	-3.8160371651574	2.84819726695259	-0.664288089679538	1.93772102576179	-1.2827897009804	1.56120392076992	0.546956178141411	-0.808437349299244	4.39238612090696	2.47014636704151	-9.96578428466209	-9.96578428466209	-1.83135796444116	4.8826919534496	-2.63486740654747	-0.0276749584428483	5.78164822368278	3.96171592448356	-0.783389931257558	3.02165738827403
pts947	-9.96578428466209	0.412510571249805	-0.641603738043346	0.799916202989014	3.28258807025917	4.25027946612286	5.25553849953995	2.73357127092638	3.80951734320822	3.249597036059	0.791605724704551	3.50474749649957	1.71413559385633	-0.886299500835272	0.00144197417390632	3.58868465719203	6.8152039485458	1.63737839487229	1.26963165094044	3.95056172905206	4.64794763658248	1.59024270806259	2.77631458511622
pts990	-2.54793176977619	-2.54793176977619	0.60502015306241	-3.04692104738749	2.76786663217663	-2.31473259348316	3.49454361670084	-0.664288089679538	1.35106289894039	-1.7809089417538	-0.833927324053294	4.09516490692972	2.52631925781714	-5.01158797427521	-9.96578428466209	-1.31832585820717	3.70498259633715	-4.608232280044	-0.619270551496451	5.05054523013456	6.5215376271437	-2.63486740654747	-3.30757280191029
pts1203	-0.0573916638883367	-9.96578428466209	-3.17136841831198	-1.68501351453148	2.20820508950445	-3.17136841831198	4.82990028662661	-2.54793176977619	2.75296262523898	6.91110431903248	-2.17788172527066	4.38687990730208	0.791605724704551	-9.96578428466209	-9.96578428466209	2.27232185276999	7.07981541910679	-1.21424022557299	0.0854246562526777	3.73346280984743	2.23909248294191	-5.57346686188333	-0.687334826441606
pts1327	1.73161772284062	-0.302226180444814	-0.968604803724466	0.934327778315369	2.7248685146864	1.26363540356833	5.39612523014054	1.43349363984688	3.970025339089	4.03747008138869	0.732052073300289	4.90212182917416	0.24000896473507	-3.17136841831198	-1.9378782880922	3.07741392423814	6.4527107350059	2.7826182437361	1.202260983562	4.95842511464899	3.03051265202529	1.45470232816369	3.79815422743359
pts1401	-9.96578428466209	2.2871767517316	-3.8160371651574	0.0440443327060212	4.50849203844346	3.37726259663846	5.51730719275742	4.44764531304672	3.76881950017942	3.51614125119857	0.911499848861108	5.87211462110404	3.69832962148096	-9.96578428466209	-2.11403524324603	1.32250505751888	8.03650882845369	2.30771994930007	0.808179083771471	6.44941280568944	5.22770257471051	3.47910118892083	-9.96578428466209
pts1155	0.840765337323874	-1.0862010350493	-2.17788172527066	0.0299828662157143	4.38687990730208	1.81598522720104	2.45180455572049	0.177598929327733	1.02927618237063	2.94504579663449	-3.62593428177746	3.48941448485301	-0.0573916638883367	-9.96578428466209	-1.39213709716876	2.52130205560918	5.19499318101023	-0.554273296650016	1.02927618237063	4.77615664021605	1.99313087142926	0.0854246562526777	2.66243339556135
pts573	-1.02620507034739	-1.05589120089205	-1.59509687785487	1.23327453899093	3.56328018065802	2.42250213510056	4.43968961966772	3.18760940922653	3.29880492346474	5.31183003892385	2.00755433613827	3.89830510949483	2.57070578853707	-9.96578428466209	-9.96578428466209	1.3397075074486	6.70059230281656	-0.232768962976124	1.46519088792598	6.11376299904015	4.30822979988149	1.69198075060328	-1.43050890804128
pts825	0.67897330785417	-2.11403524324603	-2.11403524324603	-2.72737954533701	0.112366523072563	-3.17136841831198	1.98586470124253	-3.62593428177746	0.556797246592743	1.4756037446846	-2.05289494843213	5.03126284905053	4.19148369193759	-9.96578428466209	-9.96578428466209	-1.7809089417538	6.01147327546012	-4.608232280044	-2.31473259348316	4.33277952963282	4.55894106113082	-2.93236128312464	3.30319624698775
