feature1	feature2	feature3	feature4	feature5	feature6	feature7	feature8	feature9
	103210000	91677000	129210000	92830000		41951000	99491000	88747000
2963200000	3142200000	3656600000	1873700000	1848700000	1903400000	2522900000	2789900000	2606500000
969260000	1043200000	899410000	1072500000	972310000	996240000	1174800000	1668200000	1187000000
784180000	886100000	950310000	790080000	611610000	656390000	717580000	863860000	827210000
522820000	517420000	723280000	215840000	373440000	334720000	350020000	410680000	535880000
				155290000	122760000	137670000		101690000
73062000000	64515000000	60939000000	51484000000	89402000000	91917000000	67673000000	51167000000	48789000000
443560000	394400000	606070000	347180000	151800000	237360000	186000000	373000000	155220000
2346400000	2019500000	1880100000	2207600000	2187200000	2605900000	2454800000	2483900000	2512500000
			208710000	231220000	265460000	226120000	392220000	370440000
538590000	622960000	534460000	323570000	287020000	482470000	316170000	223960000	234540000
1523500000	1762900000	1592300000	2457800000	2169200000	2323900000	2563400000	2765900000	2892500000
279920000	292470000	310620000	627520000	330990000	485620000	522110000	565530000	225100000
1616300000	2265700000	1891200000	3049200000	2370000000	2508500000	2479200000	2537600000	2921600000
298800000	402180000	472450000	440120000	412880000	539790000	591060000	560330000	867060000
226390000	253190000	285190000	395550000	262690000	273600000	424250000	368710000	287980000
617720000	668930000	1048900000	551720000	1073300000	927430000	1594400000	1254300000	1499500000
11023000000	11375000000	11363000000	13756000000	14962000000	14988000000	12248000000	11918000000	10800000000
345650000	635990000	576420000	201050000				98140000	
648220000	442930000	495680000	1811900000	4104900000	1067900000	2500900000	1783500000	2112200000
388860000	375070000	234160000	488110000	430740000	559050000	297800000	521300000	395570000
1339700000	1353900000	1144400000	2353700000	1810300000	2037300000	1538200000	1128800000	1112000000
5534000000	5316300000	6101700000	7773100000	8188500000	8120000000	7449300000	7079100000	7569300000
	96416000		89791000	76462000	63928000		99694000	603350000
3216900000	2173000000	2541000000	2929100000	3689200000	3755600000	3295900000	3471700000	3100700000
1890300000	1807000000	1980200000	2261900000	2056500000	1891100000	1960200000	2289500000	1913000000
1312200000	1061600000	1218300000	1684600000	2148700000	1753200000	1947400000	1825600000	1183600000
				89777000		91803000	173460000	86961000
134920000	190540000	221990000		206140000	281920000	223490000	254500000	372860000
								41212000
4986000000	5088700000	4276100000	7431300000	6614500000	6754700000	6404600000	6892700000	6082400000
926360000	1058000000	1126400000	1264100000	1222200000	646660000	856760000	1262300000	657910000
97017000				144310000	438790000	209910000	102500000	345380000
2455500000	2547200000	3734900000	3469500000	4543200000	3736800000	3254000000	4491300000	3339500000
11861000000	12619000000	14113000000	9127200000	11052000000	10805000000	16608000000	13233000000	14276000000
60627000000	57478000000	55001000000	50515000000	37842000000	42369000000	48871000000	47688000000	47984000000
6420100000	7824100000	8803100000	4879400000	4749400000	4747400000	5019300000	6002700000	5718200000
3736900000	4993400000	4424700000	5970700000	4469600000	4618900000	3480900000	3453100000	3928600000
401690000	400820000	377790000	269570000	152470000	125710000		164700000	178510000
1843100000	1901300000	2241300000	2560600000	2129500000	2639900000	2441100000	2468400000	3406700000
215980000	62765000	164730000	36398000	684010000	744850000	725230000	770700000	1000900000
127330000	153890000		199340000	282350000	263840000	191450000	263800000	
1419800000	1380000000	1502100000	1449000000	1412600000	1634500000	1509000000	1632400000	1778300000
726000000	684390000	905870000	1002200000	812640000	995390000	738320000	861430000	675150000
43840000000	48278000000	49936000000	32002000000	40705000000	46807000000	48829000000	35708000000	47089000000
1253200000	826640000	1485100000	1590000000	2150900000	2526300000	1298000000	2494900000	1935400000
359910000	592880000	402780000	678910000	710770000	699430000	562410000	860990000	889240000
	37538000		24975000		42527000		36047000	
						53751000		
148430000	174170000		166490000	131890000		135420000	158090000	149460000
5977200000	6249600000	6042400000	6665100000	5744700000	6397700000	4507500000	4397300000	5113600000
6893400000	6606800000	8279400000	6117800000	6759900000	7090300000	5391500000	4912300000	6368100000
41128000000	37131000000	36277000000	20597000000	18429000000	21670000000	20500000000	23928000000	14771000000
1561900000	1645700000	1482600000	1303700000	1434500000	1244600000	1105900000	1569600000	1215000000
806320000	954290000	750990000	705860000	1025700000	951290000	835350000	782600000	789920000
	144420000			135270000	140670000			
3220100000	3003300000	3163100000	4306300000	3404900000	4067300000	3509000000	3928200000	3482000000
9837300000	8876700000	7262500000	8915400000	11651000000	12371000000	9419400000	7766100000	8060400000
892350000	834370000	1750300000	1477700000	1756900000	2162500000	1452100000	1800700000	1883400000
14800000000	14109000000	16099000000	10607000000	9537800000	9739700000	13340000000	16433000000	14175000000
1656300000	1294700000	1823400000	1958000000	1441400000	1592000000	1412000000	1708000000	1303700000
1539300000	1452700000	1403500000	1951800000	1594800000	2300000000	1467100000	1728400000	1512000000
58276000000	52383000000	62026000000	22865000000	21241000000	20156000000	29072000000	33486000000	26440000000
4284000000	3988000000	4161800000	4697400000	6975000000	6217200000	4186800000	3603400000	4368400000
7049600000	6021300000	4976900000	6107800000	8807800000	10719000000	5890700000	7328900000	10493000000
1.17E+11	1.05E+11	94855000000	98484000000	92715000000	1.06E+11	1.00E+11	92929000000	1.05E+11
1950000000	2078600000	2561200000	922210000	1363900000	1074300000	1331000000	1421700000	1387600000
92928000000	1.04E+11	1.05E+11	80628000000	76613000000	79613000000	85460000000	1.01E+11	96763000000
	264430000	276800000	307080000			269890000	379880000	268320000
16751000000	19368000000	14305000000	18747000000	18270000000	16961000000	13623000000	14350000000	14757000000
50263000000	49316000000	49679000000	60488000000	56330000000	56049000000	66065000000	67561000000	67335000000
11259000000	9219100000	10802000000	9776700000	13496000000	11958000000	12071000000	12030000000	8863800000
			255780000	251650000	263530000	215870000		
3296300000	3329700000	4167600000	4527600000	3821600000	3636500000	3781400000	4088500000	3246800000
930110000	1071400000	962730000	755250000	594830000	792950000	702630000	920670000	1192000000
1111500000	1292300000	1600500000	1116400000	1700500000	3192600000	951010000	910700000	965000000
2122600000	2194500000	1796100000	2371500000	1925700000	2065500000	1854700000	2301300000	2780300000
1213900000	1282300000	927020000	1349000000	1421000000	1932700000	1610600000	1355400000	1904000000
5710100000	4854100000	5855500000	5963300000	5976100000	6210200000	6088300000	5638600000	5567900000
810440000	698930000	175420000	972350000	867790000	1056300000	871980000	1103300000	614570000
6766700000	6900700000	5679700000	3561400000	6579600000	6467800000	5605300000	5613800000	5745900000
1283100000	1387500000	1415800000	1501600000	1624000000	1724900000	1382000000	1780600000	1940700000
1102400000	1199600000	1181600000	1730100000	1813700000	1566300000	1622900000	1757500000	1598600000
112570000	124330000				89336000	130400000	64083000	
343540000	470990000		709990000	398980000	560970000	476860000	668790000	538880000
6878200000	6861200000	7218700000	9655100000	8109400000	8901200000	5627800000	6416600000	6836500000
624900000	720410000	501730000	609870000	583970000	650390000	544540000	286700000	257540000
3361300000	2703000000	3732500000	3090200000	3340700000	3144600000	3148300000	2906400000	2878300000
774820000	1188300000	856790000	929030000	1101900000	826340000	1006200000	1346300000	246670000
165250000	155470000	93532000	259240000	172540000	301460000	158810000	147890000	
1.03E+11	1.11E+11	1.03E+11	66624000000	48191000000	55860000000	55659000000	55553000000	65651000000
10821000000	10202000000	12438000000	5023900000	4742800000	4430600000	6392600000	6469700000	6485200000
56540000	48306000		121950000			84100000	75746000	74978000
42694000000	44479000000	44488000000	38149000000	36606000000	35856000000	40592000000	42182000000	43494000000
91642000			108840000		412140000		116150000	140680000
			145260000		142700000	139050000	174890000	169860000
1186800000	1161200000	823770000	1644400000	1591400000	1260700000	1356300000	1737200000	1402600000
							58488000	148750000
	233310000	197860000	194010000	267390000	318500000		474110000	179840000
1785600000	1426900000	1584400000	2004100000	1358800000	1369900000	1982700000	2234000000	2462500000
15727000000	17387000000	16808000000	19402000000	17860000000	18219000000	18674000000	17405000000	21335000000
1732900000	1542300000	1993700000	1741300000	2560100000	2150200000	1083200000	2028500000	2189800000
6244500000	4778700000	3331900000	5443900000	5396300000	6241900000	4095700000	5479400000	5489600000
3816100000	4663300000	3782100000	5063500000	2873800000	3446100000	3876700000	4178500000	5097300000
12878000000	12767000000	13418000000	19205000000	13333000000	15426000000	13426000000	11530000000	12164000000
21131000000	21661000000	22858000000	20711000000	19861000000	19041000000	19516000000	20470000000	15321000000
2464500000	2346400000	2701700000	2935400000	2862600000	2986000000	2241000000	3189600000	2127200000
4954900000	4635500000	4331700000	6210500000	5662500000	5908700000	4354800000	5341600000	5297800000
298690000	94816000	353840000	42044000	383010000	442690000	283080000	506350000	606530000
	90660000	122300000	96947000			123840000	191710000	126120000
4044200000	5018200000	3916400000	7332000000	6643200000	6618900000	4236100000	5945000000	5691000000
646830000	540370000	305130000	614060000	749540000	1483200000	618360000	510110000	560750000
		122010000	161290000	197020000	109130000	117120000	148420000	159290000
1325300000	1516000000	1675000000	2006500000	1370800000	1710900000	1002300000	1412700000	1856100000
3332900000	3640300000	3345600000	4328300000	5110400000	4827300000	3873900000	4734700000	3065500000
822910000	969200000	934650000	965650000	984420000	1054600000	1045200000	757410000	931990000
1062800000	990040000	1131900000	729320000	414480000	472300000	708850000	579930000	865530000
490630000	700870000	701680000	857580000	876170000	913490000	279600000	752700000	888390000
232100000	302690000	210360000	479620000	364890000	315310000	374900000	307720000	406570000
2892500000	3116800000	2960100000	3789000000	3867000000	3891300000	3775500000	3968000000	4691000000
1322400000	1425100000	1269700000	1192000000	1885100000	1708300000	1220300000	556870000	1252400000
					67834000			
5863100000	6612500000	5593300000	7947500000	8543400000	8188500000	6857900000	6500200000	6832600000
			155720000	150500000	154050000	297250000	432610000	323660000
152120000	168850000		352060000	298920000	306500000	195150000	186200000	117250000
3189100000	2839400000	2443700000	2953500000	3606700000	2035300000	2246600000	3153700000	3540600000
				119280000	74676000	161640000		
2035200000	2213900000	1659100000	2098100000	1880700000	2417900000	1703800000	1685000000	1350900000
265340000	218830000	277030000	286190000	431970000	413990000	265440000	359360000	385990000
1143500000	1168900000	1466500000	1644700000	1345100000	1666900000	1485200000	1435400000	1559500000
729920000	770510000	736120000	755180000	1114100000	1257200000	746500000	926230000	922860000
4252100000	4065300000	3933000000	3861700000	3382900000	4114700000	4256800000	4378800000	4228700000
63003000000	55041000000	54457000000	61385000000	61297000000	68879000000	58473000000	61707000000	67232000000
		29983000		165800000	162350000	157170000		160160000
3404800000	3417200000	4528400000	4654200000	4645900000	5664700000	3718000000	4006900000	3950900000
3116200000	2475900000	3365600000	1976300000	1974700000	2344500000	2079800000	1997000000	2216800000
533670000	626620000	397050000	1546900000	1149900000	1078300000	1038600000	1479200000	1064600000
		114480000						73258000
42825000000	38932000000	33866000000	29727000000	22313000000	27458000000	33380000000	37792000000	32402000000
92467000	115500000		233850000		150370000	127000000	143730000	
95557000		99084000	306740000	185830000	222480000	170180000		155840000
7025600000	8074300000	7386500000	8458600000	10936000000	10853000000	9201000000	9511700000	8402700000
160700000	29863000		14726000	220370000	356010000	309660000	323800000	392610000
474900000	441770000	286420000	495930000	1106400000	560090000	474330000	411940000	357350000
927110000	1091900000	1275100000	1516100000	1234600000	1211300000	1091100000	1099800000	1450200000
2420900000	2939700000	2673800000	2366700000	2449300000	2821400000	2404400000	2338200000	2281400000
6311200000	6904700000	7083300000	6332200000	4802800000	6863600000	6803800000	5904200000	8118000000
215360000	204020000	218050000	271360000	287880000	480920000	239340000	259610000	246860000
1326700000	1347100000	1447600000	1789000000	1340600000	1397000000	1186000000	1555800000	1660400000
900320000	862350000	902830000	620330000	487850000	710880000	591150000	433420000	570460000
564110000	702630000	734770000	800640000	546970000	739800000	626580000	730470000	807650000
6986000000	7096500000	7418000000	10657000000	10268000000	10281000000	7697200000	7806500000	8614000000
134440000	139490000	70033000	72561000	176600000	234900000	110490000	125970000	225360000
2431000000	2504400000	2365900000	4907300000	2473500000	3500500000	4415400000	4570600000	2912000000
760330000	871380000	1275900000	1496100000	1643000000	1472200000	1117300000	1155800000	1477000000
775180000	619060000	502680000	506670000	572390000	1147700000	553390000	780680000	777760000
331010000	140170000	219370000	94780000	545860000	196820000	489900000	442450000	449800000
1879200000	1806100000	1593400000	2269800000	1672900000	1612700000	1907900000	2104300000	2503800000
13233000000	14104000000	10884000000	17586000000	16271000000	18675000000	16653000000	17393000000	20563000000
148510000	99179000		234310000	151610000	170970000	167210000	151520000	
8052100000	8284100000	9212100000	11289000000	11396000000	12821000000	13828000000	14798000000	15802000000
2837800000	3167800000	3353800000	4908900000	3331000000	3675200000	3309500000	3696500000	4168700000
25551000000	27919000000	29299000000	24984000000	25355000000	30428000000	24839000000	23821000000	27452000000
695390000	695130000	614600000	960400000	1219200000	1380100000	1047800000	841230000	877540000
207680000	147670000	127680000	191260000	156360000	148890000	330580000	215930000	137920000
225010000	206180000	226440000	221050000	240590000	251490000	188110000	116340000	144710000
521960000	498150000	290310000	643030000	780980000	658930000	582470000	525270000	582310000
1941600000	1769100000	1801800000	1491700000	1447500000	1424000000	1353400000	1435400000	1342500000
323620000	392210000	370750000				269860000		250470000
				71804000		66290000	103140000	
99367000	117650000	76680000					232660000	172230000
8930800000	10087000000	10548000000	11219000000	9726600000	9638300000	9583500000	9861700000	10126000000
652880000	816490000	974670000	804980000	640300000	576510000	891790000	838330000	1056700000
4225400000	3884900000	3633600000	5561600000	4529500000	5360900000	4148000000	5106600000	4949200000
4979200000	4907700000	4701400000	6048800000	5761800000	5766500000	6171500000	5087200000	5990700000
325940000			244550000	214260000		183680000		178080000
1293800000	1383000000	1566600000	2221500000	8078400000	2313700000	1327300000	1888600000	507640000
1907300000	2009700000	2581900000	2500100000	3324000000	4196200000	2458900000	1343300000	1872600000
1258600000	1104400000	1624500000	2195800000	1566700000	1897700000	1638800000	2210400000	2299900000
246210000	351430000	144600000	315930000	310730000	134850000	407170000	468140000	297240000
282070000	87452000			331290000	494500000	330120000	453420000	591140000
3711400000	3484100000	3370200000	5155100000	5001700000	5089500000	4695200000	5927900000	4904600000
8265300000	7319700000	7434200000	11599000000	12819000000	10410000000	13119000000	11505000000	12443000000
767650000	712170000	1008600000	1220900000	921010000	723090000	1225600000	1190100000	1193500000
32064000000	30402000000	29863000000	21938000000	21952000000	21132000000	28982000000	33698000000	35689000000
6925200000	4749400000	2210800000	4795400000	17307000000	22272000000	10349000000	17591000000	15536000000
1004800000	1083200000	1527100000	1305000000	1095900000	1349800000	951850000	1103900000	977830000
2721000000	3400300000	2952100000	2726600000	3257200000	3058500000	2724100000	1642900000	2234200000
7029400000	6768900000	4747400000	8558800000	9453500000	8013200000	9067600000	10501000000	10314000000
1650100000	2034900000	1601300000	3515800000	3312000000	3398100000	2635400000	3877400000	2959200000
13015000000	12067000000	12026000000	14129000000	11072000000	15321000000	16744000000	19214000000	17094000000
6872800000	5675700000	4662000000	8112000000	7390700000	7024700000	6532400000	7269600000	7799300000
1324400000	1381100000	1233000000	1988800000	1622800000	1853300000	1733200000	1570000000	1599600000
2315500000	2850200000	2490600000	3522600000	3249700000	2963800000	2942100000	3350300000	3324600000
5955100000	4975500000	4254500000	7788100000	6543600000	2972600000	5598400000	4852200000	4263800000
	80708000		164540000					
834820000	875960000	965270000	835210000	871620000	975360000	870650000	842200000	539950000
6057000000	7525000000	4933200000	6681600000	5760400000	6861000000	5347600000	5343100000	5815100000
30730000000	31508000000	30622000000	24197000000	30107000000	31151000000	24461000000	25130000000	22619000000
	106320000							
			34439000	107150000		43566000	105740000	
1892900000	1889000000	1759100000	2125000000	2147700000	2396800000	1804800000	2037900000	2314400000
1679500000	1895300000	2192100000	1694800000	2126600000	1943400000	1246400000	1038900000	1366900000
647660000	982100000	887310000	961820000	432720000	480150000	582050000	875770000	721390000
189820000	246310000	225030000	200480000	175290000	590490000	180660000	154190000	250410000
22395000000	24208000000	24094000000	26280000000	23646000000	22081000000	24025000000	26662000000	25381000000
32413000	20899000		1780000000	2011400000	1758700000	182080000	203450000	149980000
2859800000	3319100000	2755300000	3737100000	3809400000	4613900000	3042100000	3906600000	2572600000
1474600000	1513400000	1427900000	1940200000	2096600000	1948700000	1644600000	2190500000	2581400000
842960000	570550000	615720000	569630000	900800000	1424700000	823850000	810080000	816660000
				156360000		231350000	36267000	54056000
10560000000	10362000000	9402500000	14200000000	14506000000	15606000000	11525000000	15871000000	11240000000
93747000000	94358000000	90963000000	1.06E+11	1.04E+11	95906000000	97170000000	91361000000	1.07E+11
532710000	520070000		1068500000		601010000	971710000	542000000	1089200000
1.12E+11	1.12E+11	1.04E+11	55848000000	45304000000	49667000000	61618000000	74420000000	64966000000
246480000	210840000	162380000	239870000		13127000	443070000	82927000	
		61382000	58917000					54167000
1.21E+11	1.16E+11	1.10E+11	53659000000	56760000000	55871000000	54383000000	61007000000	64108000000
44965000000	51453000000	41257000000	45375000000	47740000000	48667000000	21641000000	24070000000	21123000000
396490000	403570000	604190000	628830000	648290000	913410000	447540000	551690000	662410000
370580000		365150000	339060000	311010000	322930000	330780000	328090000	
4816000000	4733600000	5537900000	8014700000	2863200000	5151200000	8546400000	8335800000	8550700000
3096000000	3408200000	3081800000	3263200000	6710700000	2467400000	4248600000	3435800000	4669900000
		176210000	162090000	351040000	279050000	218420000	229810000	147920000
		83797000						16612000
173480000	203050000	144180000	244080000	49475000	348760000	89600000	363660000	
		80692000			91598000			
2784100000	2772600000	3377600000	3265400000	2067300000	2218700000	2795400000	3276200000	2789000000
513450000	587410000	855690000	1185100000	799090000	1022700000	969310000	709460000	789870000
79385000	136460000	134170000	163000000	115170000	144690000	132810000		154390000
525640000	726190000	787300000	842030000	932550000	685440000	550100000	798340000	933840000
28117000000	29030000000	35334000000	34973000000	34571000000	37572000000	26481000000	28640000000	29387000000
838050000	572980000	864010000	1130100000	1194400000	1009700000	714570000	852940000	1038000000
1112100000	1374800000	1273100000	1482200000	1000100000	1271200000	1151100000	1180500000	1393000000
1082900000	898720000	1121800000	1052400000	800690000	866150000	1130700000	1266500000	1281200000
161470000	114990000	163020000	221810000	116090000	155210000	167970000	202130000	210430000
419800000	634870000	776980000	456240000	354820000	500550000	568320000	569000000	391070000
14360000000	15084000000	15151000000	8403100000	8186300000	8825700000	10322000000	12773000000	12218000000
550080000	652770000	272840000	739160000	486300000	526980000	572420000	546920000	606760000
	212670000	299990000	128180000	168890000	166470000	111380000	127790000	188670000
			116420000	125390000	97252000	116340000	162060000	215840000
146070000	263490000		143660000	173470000	217910000	123790000		
	247680000	342550000	661370000	581050000	483630000	473700000	473340000	394790000
997530000	956710000	920280000	1384800000	1420500000	1417200000	958010000	1285600000	1424300000
163000000	165610000	162290000	265540000	232010000	243990000	125500000		208390000
5899100000	5977600000	5111100000	5485800000	4394900000	5998400000	5661100000	5127200000	5833900000
9987600000	10298000000	11128000000	10158000000	12608000000	12221000000	10024000000	9432100000	10419000000
267080000	157320000	348360000	4379400000	1868500000	2877300000	306290000	464280000	799660000
1.13E+11	1.16E+11	1.15E+11	1.32E+11	1.20E+11	1.32E+11	1.05E+11	1.15E+11	1.09E+11
3198200000	4569200000	2970700000	3370000000	3379200000	3816700000	4000800000	2901000000	3438100000
3049300000	3255000000	3167800000	2403300000	3277000000	3198500000	2949500000	3265600000	3423800000
5053200000	4628400000	4273400000	6067400000	7065000000	4897800000	4143300000	3028800000	3663100000
			77587000	66956000				56134000
1608700000	398500000	377570000	462090000	155460000	453430000	392360000	443750000	362250000
273400000	229940000	298650000	411610000	353060000	395640000	387050000	432490000	350860000
455110000	660400000	748860000	653140000	694440000	829180000	442600000	274770000	616490000
1767300000	1525500000	1828100000	2202000000	3977600000	2741700000	2462800000	2035800000	2220900000
375290000	411550000	498540000	354890000	584590000	427850000	392730000	267950000	365790000
5367000000	5805500000	5462000000	7980100000	6445500000	7847900000	5057900000	5682900000	5692800000
124700000	122140000	175360000	176190000	195610000	210340000	179820000	203180000	122610000
31041000000	37067000000	36837000000	15310000000	12976000000	14195000000	14623000000	13890000000	16855000000
373190000	243630000	268890000	494080000	364230000	209070000	441480000	418020000	309620000
34121000000	38611000000	34728000000	33485000000	28097000000	31620000000	32428000000	30128000000	36457000000
239880000	235420000	332860000		245530000	271930000	130860000	102960000	93759000
538250000	521780000	385040000	752480000	928140000	1553100000	926900000	846700000	917360000
12618000000	13775000000	11638000000	12846000000	10888000000	11822000000	11609000000	11274000000	10937000000
2373200000	2571600000	2105600000	2954900000			1667000000	1710100000	3167300000
14373000			17180000		36782000	69261000	97479000	144740000
8782000000	9188900000	9489400000	11654000000	6002400000	9227700000	10225000000	9081700000	8753800000
10599000000	11537000000	12363000000	15030000000	11275000000	11375000000	10460000000	11517000000	11048000000
	320630000		258530000	143580000	266840000	229050000	216320000	251910000
21509000000	20113000000	21740000000	14946000000	11329000000	15170000000	15149000000	17766000000	16033000000
				120510000		104830000	50679000	
8655400000	9299300000	8278800000	10553000000	10312000000	11967000000	9728100000	10539000000	11677000000
9642100000	9465800000	10858000000	12830000000	10404000000	11864000000	11317000000	11258000000	10907000000
10278000000	10825000000	9985800000	12461000000	8410400000	10605000000	10344000000	10638000000	11459000000
162070000		219490000	195140000			157780000	182020000	189180000
3237700000	3146300000	4415900000	6161800000	4158100000	4499800000	3821600000	6597600000	4362800000
480460000	645100000	412570000	482180000	773850000	516180000	625420000		360870000
1070900000	878670000	215120000	911970000	1045400000	2420100000	1587300000	1425300000	1419900000
142470000	100690000					127310000		190390000
119500000	146130000	94769000	50264000				71901000	
2355500000	1917800000	2397900000	2438400000	1589900000	1979000000	1185600000	1532300000	1974800000
6569800000	7091000000	8592400000	8068400000	6888000000	9397900000	5977500000	6983000000	7054700000
29962000000	30586000000	31965000000	55848000000	50519000000	48949000000	35471000000	42094000000	43799000000
19668000000	20615000000	19878000000	24215000000	22904000000	23279000000	20768000000	24638000000	24712000000
2387900000	2519900000	3957300000	4272800000	5577100000	3096500000	3150100000	3271000000	3305200000
	239680000	105270000			65942000	165070000	185740000	378880000
452920000	366530000			397610000	532290000	206770000	287310000	
63400000	76145000	118090000	74908000	436840000	16236000	145860000	80483000	91578000
686720000	624190000	563040000	523410000	333750000	429740000	368670000	379980000	174920000
62425000	58207000		67315000	68880000			59178000	
340270000	371270000	295280000	490330000	552770000	457740000	367380000	355740000	325810000
4518200000	4731800000	6598600000	5706300000	4788500000	4827600000	4322600000	4986800000	5350200000
1030900000	1475600000	1402200000	4310500000	3540000000	3342100000	3446400000	3787200000	2880500000
2509200000	2649900000	2386000000	2549300000	2224200000	2787300000	2818300000	2705400000	3383200000
181070000	256920000	158010000	45054000			79649000	133480000	
618720000	522480000	724370000	265100000	187880000	261510000	436900000	531910000	481310000
1345900000	1204300000	1425300000	1541500000	1561300000	1515500000	1262300000	1687800000	834470000
15772000000	16295000000	13114000000	24475000000	19914000000	23083000000	21266000000	25640000000	25331000000
1648700000	1700200000	1462700000	2048200000	2015500000	1989300000	1700500000	1709600000	2425800000
187550000	274880000	115810000	86637000	363920000				68219000
12226000000	13012000000	12865000000	18832000000	16349000000	12925000000	14280000000	15640000000	15056000000
1587500000	1347600000	1600600000	1665000000	1303600000	2085800000	1453500000	1967000000	1681900000
54046000000	50475000000	54751000000	57870000000	50197000000	56353000000	46576000000	50247000000	52222000000
337310000			646520000	447730000	401820000		478360000	
63487000	72804000	86084000	97395000	104260000	84213000	123430000	92312000	30239000
187490000	253020000	282840000	275180000			493720000	388120000	348900000
7214300000	7555100000	8515900000	8144600000	8826600000	10467000000	6865000000	7090000000	7976500000
1623600000	1690700000	1542300000	1680100000	1400700000	1583400000	1640100000	1892900000	883470000
443040000	336720000	377120000	471530000	559800000		349020000	250830000	519630000
27804000000	27567000000	24139000000	33298000000	25404000000	33342000000	27522000000	27588000000	34169000000
646890000	880320000	935810000	848360000	754100000	969390000	429930000	612690000	880240000
195810000	171630000	231090000	210000000	216730000	234220000	189350000	144970000	255530000
36481000000	35121000000	34048000000	18190000000	17743000000	16623000000	21579000000	19730000000	19481000000
286550000	257450000	464660000	402730000	257000000	320600000	225680000	407330000	652440000
614280000	907080000	710530000	1274500000	1076800000	1075900000	1266500000	1221000000	792200000
7015100000	7154600000	6665600000	9338600000	7670300000	8484900000	7685400000	7502300000	9020500000
292760000	294760000	412700000	469660000	316640000	349800000	304940000	380490000	360530000
1081600000	1012900000	873470000	1405800000	1140800000	949180000	995150000	978570000	866530000
	49370000		57053000	59302000			93974000	
12391000000	15294000000	13700000000	16306000000	16130000000	16812000000	17237000000	21019000000	19067000000
1478500000	1620200000	1528700000	2605500000	2520700000	2527800000	1394500000	2035900000	1775900000
3749300000	4290100000	3534200000	10335000000	11621000000	5846300000	2937000000	2543500000	2713200000
			145890000					135780000
340760000	707990000	294200000	649330000	497790000	425050000	342890000	506390000	253270000
4951300000	2723800000	4711500000	6897500000	4066100000	3908000000	4857500000	7177400000	6886100000
9109300000	9432600000	9048200000	17194000000	15163000000	17183000000	15295000000	16134000000	15564000000
11631000000	14127000000	9903100000	10447000000	21184000000	22589000000	13315000000	10682000000	11778000000
9425300000	7964900000	6041100000	14139000000	19794000000	15862000000	13404000000	14865000000	24143000000
19712000000	24434000000	23082000000	29366000000	27928000000	28141000000	26606000000	32938000000	32298000000
11789000000	11285000000	10413000000	20476000000	15450000000	18247000000	17226000000	16280000000	18618000000
15110000000	13999000000	15384000000	15423000000	46961000000	18738000000	30988000000	26716000000	27573000000
15318000000	15564000000	16803000000	24446000000	32729000000	29569000000	24101000000	25100000000	25262000000
13480000000	12172000000	13284000000	18379000000	16573000000	14651000000	18223000000	25705000000	21157000000
14790000000	12410000000	10070000000	23038000000	21521000000	22359000000	19896000000	21787000000	19928000000
11304000000	11250000000	12516000000	18070000000	14551000000	8992900000	18006000000	15406000000	17296000000
17179000000	14912000000	15505000000	23161000000	19738000000	19073000000	22154000000	22659000000	11663000000
14389000000	15043000000	13254000000	23178000000	38141000000	25862000000	33714000000	36998000000	36109000000
23291000000	24081000000	23623000000	38147000000	35933000000	38386000000	31138000000	33064000000	33021000000
24354000000	26711000000	26554000000	36148000000	26889000000	29713000000	33444000000	36976000000	30990000000
20850000000	20882000000	20960000000	28400000000	24262000000	25116000000	25055000000	21803000000	21967000000
16180000000	15954000000	15923000000	28893000000	24799000000	26109000000	22729000000	29244000000	22649000000
13700000000	13523000000	12597000000	17909000000	23495000000	18955000000	21987000000	18575000000	27385000000
39093000000	39491000000	45286000000	69502000000	61021000000	61519000000	63368000000	67530000000	63765000000
21764000000	23545000000	23512000000	31020000000	32330000000	29337000000	26203000000	30918000000	33783000000
142310000					288420000			
2553200000	2359900000	1540100000	2147000000	1098200000	804610000	1822600000	2021300000	1560700000
1918100000	1972400000	1254900000	2757600000	5078900000	4306700000	4797400000	4494300000	5640300000
153700000	178510000	247310000	350060000	1934400000	206500000	546790000	325970000	447040000
222160000	231720000	266490000	350830000	5228500000	658530000	577120000	496300000	410530000
5151400000	6709400000	7171300000	10494000000	9610000000	3253700000	8512400000	9009100000	9490100000
15033000000	13423000000	13805000000	22055000000	38841000000	40293000000	35739000000	36436000000	42194000000
8003800000	11495000000	9771600000	18915000000	10158000000	16502000000	14416000000	14629000000	15412000000
8521300000	7798600000	8774200000	11550000000	10234000000	14956000000	10336000000	9035000000	7993200000
182930000	337520000	3816500000	580890000	6208700000	300490000	3988000000	1401100000	4239000000
9593700000	8484300000	10036000000	14310000000	16841000000	15589000000	17465000000	15775000000	15402000000
9157800000	8266900000	7142300000	8910100000	14720000000	13808000000	16188000000	7520000000	13411000000
7040700000	7625900000	5561100000	7370700000	6847300000	12664000000	9658300000	10412000000	8236000000
7066300000	10011000000	7675000000	5875200000	11573000000	10279000000	12951000000	6637600000	8078600000
2392000000	2464100000	1201400000	2030000000	11854000000	2815800000	8382700000	3308700000	3074300000
15626000000	15963000000	12891000000	14730000000	22153000000	17375000000	19165000000	12687000000	16899000000
22204000000	22019000000	21178000000	28489000000	28998000000	40171000000	29179000000	24794000000	26893000000
